,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
X1,0.0,0.9933333333333333,0.0,0.02,0.0,0.0,0.02666666666666667,0.013333333333333334,0.0,0.006666666666666667
X2,0.9933333333333333,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X3,0.0,0.94,0.0,0.9133333333333333,0.0,0.0,0.006666666666666667,0.0,0.0,0.0
X4,0.02,0.0,0.9133333333333333,0.0,0.96,0.0,0.0,0.006666666666666667,0.0,0.0
X5,0.0,0.0,0.0,0.96,0.0,0.9466666666666667,0.0,0.013333333333333334,0.0,0.0
X6,0.0,0.0,0.0,0.0,0.9466666666666667,0.0,0.9,0.006666666666666667,0.0,0.0
X7,0.02666666666666667,0.0,0.006666666666666667,0.0,0.0,0.9,0.0,0.8933333333333333,0.0,0.0
X8,0.013333333333333334,0.0,0.0,0.006666666666666667,0.013333333333333334,0.006666666666666667,0.8933333333333333,0.0,0.8266666666666667,0.0
X9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8266666666666667,0.0,1.0
X10,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
