,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
X1,0.0,1.0,0.07333333333333333,0.08666666666666667,0.05333333333333334,0.06666666666666667,0.1,0.1,0.10666666666666667,0.08666666666666667,0.07333333333333333,0.10666666666666667,0.1,0.12666666666666668,0.10666666666666667,0.1,0.13333333333333333,0.08666666666666667,0.1,0.08666666666666667
X2,1.0,0.0,1.0,0.08,0.12,0.09333333333333334,0.06,0.1,0.12,0.06666666666666667,0.06666666666666667,0.08666666666666667,0.1,0.10666666666666667,0.08666666666666667,0.06666666666666667,0.11333333333333333,0.08666666666666667,0.1,0.05333333333333334
X3,0.07333333333333333,1.0,0.0,1.0,0.07333333333333333,0.08666666666666667,0.06666666666666667,0.13333333333333333,0.09333333333333334,0.10666666666666667,0.08,0.09333333333333334,0.08,0.09333333333333334,0.11333333333333333,0.11333333333333333,0.11333333333333333,0.08666666666666667,0.06,0.08
X4,0.08666666666666667,0.08,1.0,0.0,1.0,0.1,0.06,0.1,0.09333333333333334,0.1,0.07333333333333333,0.08666666666666667,0.13333333333333333,0.04666666666666667,0.06666666666666667,0.14,0.11333333333333333,0.09333333333333334,0.07333333333333333,0.11333333333333333
X5,0.05333333333333334,0.12,0.07333333333333333,1.0,0.0,1.0,0.11333333333333333,0.1,0.07333333333333333,0.09333333333333334,0.08666666666666667,0.08,0.10666666666666667,0.08,0.06,0.08,0.06,0.08,0.07333333333333333,0.07333333333333333
X6,0.06666666666666667,0.09333333333333334,0.08666666666666667,0.1,1.0,0.0,0.9933333333333333,0.1,0.10666666666666667,0.08666666666666667,0.06,0.06666666666666667,0.1,0.12,0.06666666666666667,0.06,0.08,0.08666666666666667,0.1,0.08666666666666667
X7,0.1,0.06,0.06666666666666667,0.06,0.11333333333333333,0.9933333333333333,0.0,1.0,0.06666666666666667,0.07333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.10666666666666667,0.09333333333333334,0.09333333333333334,0.12666666666666668,0.08666666666666667,0.11333333333333333,0.08
X8,0.1,0.1,0.13333333333333333,0.1,0.1,0.1,1.0,0.0,1.0,0.04666666666666667,0.06666666666666667,0.09333333333333334,0.06666666666666667,0.06,0.12,0.07333333333333333,0.13333333333333333,0.1,0.08666666666666667,0.12666666666666668
X9,0.10666666666666667,0.12,0.09333333333333334,0.09333333333333334,0.07333333333333333,0.10666666666666667,0.06666666666666667,1.0,0.0,0.9933333333333333,0.08,0.07333333333333333,0.08666666666666667,0.04,0.08666666666666667,0.08666666666666667,0.10666666666666667,0.08,0.16,0.12
X10,0.08666666666666667,0.06666666666666667,0.10666666666666667,0.1,0.09333333333333334,0.08666666666666667,0.07333333333333333,0.04666666666666667,0.9933333333333333,0.0,1.0,0.10666666666666667,0.08,0.11333333333333333,0.11333333333333333,0.11333333333333333,0.1,0.04666666666666667,0.08666666666666667,0.11333333333333333
X11,0.07333333333333333,0.06666666666666667,0.08,0.07333333333333333,0.08666666666666667,0.06,0.06666666666666667,0.06666666666666667,0.08,1.0,0.0,1.0,0.06666666666666667,0.08666666666666667,0.05333333333333334,0.15333333333333332,0.14666666666666667,0.15333333333333332,0.12,0.11333333333333333
X12,0.10666666666666667,0.08666666666666667,0.09333333333333334,0.08666666666666667,0.08,0.06666666666666667,0.13333333333333333,0.09333333333333334,0.07333333333333333,0.10666666666666667,1.0,0.0,1.0,0.10666666666666667,0.07333333333333333,0.12666666666666668,0.11333333333333333,0.07333333333333333,0.12,0.12
X13,0.1,0.1,0.08,0.13333333333333333,0.10666666666666667,0.1,0.06666666666666667,0.06666666666666667,0.08666666666666667,0.08,0.06666666666666667,1.0,0.0,1.0,0.1,0.10666666666666667,0.08666666666666667,0.12,0.08,0.12
X14,0.12666666666666668,0.10666666666666667,0.09333333333333334,0.04666666666666667,0.08,0.12,0.10666666666666667,0.06,0.04,0.11333333333333333,0.08666666666666667,0.10666666666666667,1.0,0.0,1.0,0.07333333333333333,0.14,0.09333333333333334,0.06666666666666667,0.08666666666666667
X15,0.10666666666666667,0.08666666666666667,0.11333333333333333,0.06666666666666667,0.06,0.06666666666666667,0.09333333333333334,0.12,0.08666666666666667,0.11333333333333333,0.05333333333333334,0.07333333333333333,0.1,1.0,0.0,1.0,0.08,0.09333333333333334,0.10666666666666667,0.10666666666666667
X16,0.1,0.06666666666666667,0.11333333333333333,0.14,0.08,0.06,0.09333333333333334,0.07333333333333333,0.08666666666666667,0.11333333333333333,0.15333333333333332,0.12666666666666668,0.10666666666666667,0.07333333333333333,1.0,0.0,1.0,0.10666666666666667,0.08,0.10666666666666667
X17,0.13333333333333333,0.11333333333333333,0.11333333333333333,0.11333333333333333,0.06,0.08,0.12666666666666668,0.13333333333333333,0.10666666666666667,0.1,0.14666666666666667,0.11333333333333333,0.08666666666666667,0.14,0.08,1.0,0.0,1.0,0.08,0.08666666666666667
X18,0.08666666666666667,0.08666666666666667,0.08666666666666667,0.09333333333333334,0.08,0.08666666666666667,0.08666666666666667,0.1,0.08,0.04666666666666667,0.15333333333333332,0.07333333333333333,0.12,0.09333333333333334,0.09333333333333334,0.10666666666666667,1.0,0.0,1.0,0.06666666666666667
X19,0.1,0.1,0.06,0.07333333333333333,0.07333333333333333,0.1,0.11333333333333333,0.08666666666666667,0.16,0.08666666666666667,0.12,0.12,0.08,0.06666666666666667,0.10666666666666667,0.08,0.08,1.0,0.0,1.0
X20,0.08666666666666667,0.05333333333333334,0.08,0.11333333333333333,0.07333333333333333,0.08666666666666667,0.08,0.12666666666666668,0.12,0.11333333333333333,0.11333333333333333,0.12,0.12,0.08666666666666667,0.10666666666666667,0.10666666666666667,0.08666666666666667,0.06666666666666667,1.0,0.0
